id,value
id_0,22.197452677678466
id_1,65.16177895898817
id_2,30.65730664956665
id_3,34.35000213301024
id_4,7.860048274766724
id_5,21.977551329225612
id_6,41.88151797419076
id_7,18.40080907051385
id_8,59.02228572660733
id_9,24.85004226680972
id_10,35.17693563915923
id_11,52.011927683441606
id_12,38.00998238700363
id_13,24.0569313737054
id_14,37.11492579034203
id_15,13.191900148771698
id_16,52.76931202213659
id_17,26.479964846201213
id_18,11.767820067870275
id_19,14.636090350851049
id_20,17.774529915428953
id_21,34.294082057095046
id_22,38.818321327008015
id_23,18.08320105647369
id_24,59.325723173243105
id_25,33.63164688579524
id_26,18.855621174098896
id_27,13.03188243902686
id_28,31.84667727000322
id_29,24.45911186833408
id_30,9.869957578763591
id_31,8.816284814227043
id_32,16.92133566012132
id_33,12.662383284028426
id_34,18.12848366323862
id_35,46.32396970127361
id_36,23.60920263971807
id_37,26.129426735992897
id_38,17.39638618754988
id_39,51.92558013871048
id_40,35.12239161613765
id_41,34.520882738496184
id_42,49.81739997017414
id_43,21.14678033575816
id_44,31.68141330062064
id_45,49.353629445600305
id_46,48.0545992149581
id_47,41.769838795060274
id_48,40.043732016086345
id_49,22.96266333131134
id_50,32.88832219773253
id_51,20.364998491883888
id_52,38.11321258413792
id_53,20.994850675368745
id_54,33.063718325231186
id_55,40.83815717217484
id_56,23.271627664967824
id_57,22.66946010838476
id_58,37.166758565608085
id_59,42.42702873644185
id_60,5.833188951282228
id_61,43.244127357349726
id_62,32.76155194393325
id_63,41.069920677557185
id_64,42.52583649314055
id_65,26.70371168613112
id_66,35.59485157235277
id_67,46.85412877561644
id_68,27.139266829690893
id_69,35.564840986804
id_70,54.19264393074689
id_71,60.447068505109115
id_72,35.25821306571475
id_73,16.554685631108747
id_74,14.494530045889691
id_75,36.47149679472854
id_76,58.14885253987872
id_77,5.349344700468697
id_78,44.05030092609407
id_79,38.97133272933085
id_80,13.045419651516768
id_81,18.720028962067403
id_82,3.7082994108284195
id_83,35.491398369147184
id_84,8.936393920489326
id_85,12.339948456764123
id_86,15.293060947786534
id_87,13.68771875160171
id_88,24.16517082020792
id_89,17.33712158131065
id_90,31.87770307361523
id_91,11.429201224441812
id_92,20.103960790478098
id_93,15.047058262660922
id_94,32.537927121525954
id_95,20.00648205737669
id_96,15.012203003776298
id_97,9.04416241095056
id_98,10.303730712142839
id_99,13.138464502894804
id_100,7.087688895944364
id_101,23.481435587524036
id_102,13.612761236212446
id_103,14.752315290104226
id_104,11.99657157480219
id_105,25.228603602370764
id_106,22.38206723452539
id_107,11.566650453805577
id_108,23.91003701023564
id_109,16.25663422499238
id_110,10.408053601343532
id_111,11.866854855253678
id_112,20.277243621050474
id_113,18.441007139853937
id_114,17.909576088697797
id_115,20.475949202276567
id_116,11.552010695162855
id_117,34.95107083532432
id_118,19.844406395439634
id_119,5.642269000649324
id_120,-2.042311643070765
id_121,10.769625051045734
id_122,8.118033994982229
id_123,7.031339183224602
id_124,11.928388150002359
id_125,18.80075645547133
id_126,26.34992888817585
id_127,6.39869022624377
id_128,14.905494069699717
id_129,10.246607557859774
id_130,-0.17462939591941828
id_131,21.575816754755643
id_132,21.26765377322594
id_133,34.802837286212146
id_134,29.51227011839916
id_135,21.94435718439447
id_136,12.712043093061451
id_137,25.48708623798139
id_138,62.69113518026929
id_139,61.84899282282725
id_140,29.779084193628297
id_141,15.200706729574135
id_142,19.6796084746427
id_143,9.331720502372857
id_144,20.37155981862975
id_145,10.945123845972972
id_146,12.252975394023412
id_147,10.990975705520894
id_148,17.450083962647213
id_149,15.849803408162916
id_150,27.941719245375843
id_151,18.40905054961068
id_152,17.14581277998501
id_153,10.219398548968716
id_154,24.325862457729503
id_155,26.11394929154661
id_156,21.46213518228728
id_157,29.27578436424553
id_158,11.639292736095118
id_159,20.90939258483728
id_160,45.22332279543836
id_161,17.57326504576696
id_162,57.46993412384577
id_163,12.545548371633014
id_164,23.952872408048474
id_165,24.400704412211756
id_166,26.9452680069291
id_167,2.3236203159019135
id_168,66.2272985525507
id_169,21.697849062304794
id_170,13.225338343864724
id_171,61.807050071049005
id_172,14.425362028106042
id_173,7.409573410709524
id_174,35.36524998281864
id_175,3.8907351419566574
id_176,10.535467225896308
id_177,27.638891986246037
id_178,22.12834198396862
id_179,20.792149271411848
id_180,33.772584703392795
id_181,36.66531016707459
id_182,34.109472416668176
id_183,17.41745411977066
id_184,6.013755287543462
id_185,36.6692653180357
id_186,29.838656106896735
id_187,28.317604833581512
id_188,15.62358907304806
id_189,23.924716319370685
id_190,14.348183694025611
id_191,13.084375938814537
id_192,25.00254052302393
id_193,70.44688510353723
id_194,41.31236047210468
id_195,14.53599760669479
id_196,63.95769478878167
id_197,15.030805929138946
id_198,18.48802295552126
id_199,23.75971617022344
id_200,81.47153065703937
id_201,20.828399311219183
id_202,50.93791914132342
id_203,13.621920784082164
id_204,52.042990297960195
id_205,23.577107206656432
id_206,6.541480261720166
id_207,18.367477855782475
id_208,47.949863390970236
id_209,28.84466049486618
id_210,41.07429741468418
id_211,59.49240108220442
id_212,21.143128471479287
id_213,106.80418690432606
id_214,32.884514678103045
id_215,69.13003490492794
id_216,67.20474779548456
id_217,60.259334556130035
id_218,40.241843517924984
id_219,33.458827267444185
id_220,32.81357812689132
id_221,65.7368330104466
id_222,21.99377592425075
id_223,34.404759653453716
id_224,42.36573712687973
id_225,9.092419752388443
id_226,10.935270729813801
id_227,67.61697130201722
id_228,29.096391815934314
id_229,5.424963170237671
id_230,40.53972255763875
id_231,13.142043830662267
id_232,18.895473983375986
id_233,8.147989954527697
id_234,20.61122387477362
id_235,20.324252996416114
id_236,15.14291740032239
id_237,9.518113432389503
id_238,23.473534068770498
id_239,18.52313603690172
